Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Year
MSitAE-SEPTEMBER-2021,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,2021
MSitAE-SEPTEMBER-2021,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,3305,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,3361,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,2262,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4377,0,0,57,0,19,1930,0,0,0,0,0,207,11,958,0,0,164,2021
MSitAE-SEPTEMBER-2021,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,G82071,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1453,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,870,0,0,608,0,0,5,0,0,1,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,2832,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2021
MSitAE-SEPTEMBER-2021,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,8199,673,3088,1319,0,173,0,0,0,0,0,0,1030,0,3534,0,52,1650,2021
MSitAE-SEPTEMBER-2021,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2021
MSitAE-SEPTEMBER-2021,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,1465,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8594,1118,2590,0,0,0,3376,0,56,0,0,0,572,0,3143,829,0,655,2021
MSitAE-SEPTEMBER-2021,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,14841,0,0,0,0,0,3222,0,0,0,0,0,687,0,2912,0,0,859,2021
MSitAE-SEPTEMBER-2021,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,94,2021
MSitAE-SEPTEMBER-2021,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8418,0,0,440,0,0,0,0,0,0,0,0,881,0,2130,0,0,408,2021
MSitAE-SEPTEMBER-2021,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2144,0,0,67,0,0,43,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2021
MSitAE-SEPTEMBER-2021,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,5707,0,9481,0,0,0,3357,0,281,0,0,0,805,373,2045,0,18,963,2021
MSitAE-SEPTEMBER-2021,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3038,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1476,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7106,0,0,793,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,13333,1225,6947,337,0,0,5466,179,113,27,0,0,1440,12,3052,0,0,449,2021
MSitAE-SEPTEMBER-2021,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,1741,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,DD401,NHS ENGLAND SOUTH WEST ,EXMOUTH MINOR INJURY UNIT,0,0,1212,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,2235,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7625,0,0,643,0,0,307,0,0,3,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,12168,0,5564,420,0,24,5076,0,12,106,0,0,1062,36,3438,0,0,1296,2021
MSitAE-SEPTEMBER-2021,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1809,0,0,60,0,0,17,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,844,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10134,0,851,162,0,0,1910,0,0,17,0,0,714,0,2660,0,0,420,2021
MSitAE-SEPTEMBER-2021,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5559,0,2952,200,0,20,2943,0,8,97,0,0,645,85,1871,0,0,1100,2021
MSitAE-SEPTEMBER-2021,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,13112,0,6286,166,0,1132,3867,0,28,0,0,13,994,16,5282,0,0,789,2021
MSitAE-SEPTEMBER-2021,RQX,NHS ENGLAND LONDON,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,10188,0,0,118,0,0,1420,0,0,0,0,0,157,3,1744,0,0,177,2021
MSitAE-SEPTEMBER-2021,RBN,NHS ENGLAND NORTH WEST ,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,9962,0,5594,168,0,0,4553,0,63,53,0,0,367,0,3954,0,0,332,2021
MSitAE-SEPTEMBER-2021,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11716,0,7,127,0,302,3337,0,0,26,0,0,423,0,3406,0,0,1114,2021
MSitAE-SEPTEMBER-2021,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,303,0,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,10454,0,0,0,0,760,2876,0,0,0,0,49,227,8,2179,0,0,274,2021
MSitAE-SEPTEMBER-2021,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6286,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,2021
MSitAE-SEPTEMBER-2021,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4796,0,0,244,0,0,544,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,27,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5582,0,0,0,0,0,1529,0,0,0,0,0,0,0,1046,0,0,210,2021
MSitAE-SEPTEMBER-2021,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,M85813,NHS ENGLAND MIDLANDS ,BIRMINGHAM WIC,0,0,0,0,0,1281,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,129,0,0,1481,0,0,0,0,0,1,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,911,0,0,0,0,0,10,0,0,0,0,0,0,0,4,501,2021
MSitAE-SEPTEMBER-2021,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5653,0,2313,263,0,94,1252,0,24,35,0,2,316,6,2312,0,0,544,2021
MSitAE-SEPTEMBER-2021,NJS05,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,4928,0,0,412,0,0,808,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,8592,0,3949,0,0,0,3006,0,1055,0,0,0,751,8,2568,0,0,1200,2021
MSitAE-SEPTEMBER-2021,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,191,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1120,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,30,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,97,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,2021
MSitAE-SEPTEMBER-2021,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5851,0,6139,0,0,779,3072,0,725,0,0,67,614,4,1527,0,0,488,2021
MSitAE-SEPTEMBER-2021,RBZ,NHS ENGLAND SOUTH WEST ,NORTHERN DEVON HEALTHCARE NHS TRUST,4511,0,0,329,0,0,1160,0,0,37,0,0,330,1,1179,0,0,426,2021
MSitAE-SEPTEMBER-2021,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4375,291,1247,259,0,0,1311,0,0,117,0,0,192,0,1235,0,0,789,2021
MSitAE-SEPTEMBER-2021,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,34081,0,202,2,0,0,15248,0,0,1,0,0,4966,47,9941,0,0,3597,2021
