Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions,Year,Total Attendance,Total_Attendances,Total_Over4hrs,Over4hr_Percentage,Total_Emergency,Emergency_Rate,Waited_12hr_Rate,Log_Total_Attendances,Prediction
MSitAE-SEPTEMBER-2021,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,6517,6517,0,0.0,0,0.0,0.0,8.782322859397507,2.0451155646753243
MSitAE-SEPTEMBER-2021,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,3305,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2021.0,3305,3305,27,0.8169440242057489,0,0.0,0.0,8.10349427838097,3.098930801501476
MSitAE-SEPTEMBER-2021,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,3361,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,2021.0,3361,3361,267,7.944064266587326,0,0.0,0.0,8.120291313968561,3.1464722418416415
MSitAE-SEPTEMBER-2021,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,3271,3271,0,0.0,0,0.0,0.0,8.093156697722637,3.098930801501476
MSitAE-SEPTEMBER-2021,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4377,0,0,57,0,19,1930,0,0,0,0,0,207,11,958,0,0,164,2021.0,4377,4377,1930,44.09412839844642,958,0.218871373086589,0.002513136851724926,8.384347278082808,26.524295460799717
MSitAE-SEPTEMBER-2021,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,2365,2365,0,0.0,0,0.0,0.0,7.768956044538332,2.9845729761689848
MSitAE-SEPTEMBER-2021,G82071,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,3775,3775,0,0.0,0,0.0,0.0,8.236420527265391,3.8357405600653816
MSitAE-SEPTEMBER-2021,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1453,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2021.0,1453,1453,4,0.27529249827942187,0,0.0,0.0,7.282073658093465,0.7851386495792149
MSitAE-SEPTEMBER-2021,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,870,0,0,608,0,0,5,0,0,1,0,0,0,0,0,0,2021.0,870,870,5,0.5747126436781609,0,0.0,0.0,6.769641976852503,0.7610793096612869
MSitAE-SEPTEMBER-2021,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021.0,1627,1627,0,0.0,0,0.0,0.0,7.395107546562485,0.7851386495792149
